id;data_assinatura;portaria;periodo_aquisitivo;tempo_afastamento;data_inicio;data_final
1;2022-05-25;calculate Credit Interactions;Mouse Jogos algorithm;30159;2022-05-25;2022-05-25
2;2022-05-25;convergence;connect Salsicha;43697;2022-05-25;2022-05-25
3;2022-05-25;Avenida dourado;Amapá Atum Gostoso;41475;2022-05-25;2022-05-25
4;2022-05-24;front-end coral;Peixe;48887;2022-05-25;2022-05-25
5;2022-05-25;application Maiote Mouse;Congelado Executive;6176;2022-05-24;2022-05-25
6;2022-05-24;card;Avenida portal;84416;2022-05-25;2022-05-25
7;2022-05-25;reboot;Bicicleta;70711;2022-05-25;2022-05-25
8;2022-05-25;cobre;Planner index overriding;44881;2022-05-25;2022-05-25
9;2022-05-25;Markets Genérico;Casa Costa;53637;2022-05-24;2022-05-25
10;2022-05-25;lilás Macio;systems;55393;2022-05-25;2022-05-25
